,Unnamed: 0,District,Mandal,Village,Latitude,Longitude,SoilType,pH,EC,OC,P,K,Ca,Mg,S,Zn,B,Fe,Cu,Mn,Crop,ndvi,arvi,evi,gci,ndwi
33,33,Anantapur,Penukonda,Kondampalli,14.13,77.65,Redsoil,8.57,0.16,1.41,14.39,93,2642,426,7.75,0.53,1.01,9.1,0.71,2.94,G.Nut,0.2732426303854875,0.07819521840733418,0.5615752068041477,1.163776493256262,-0.36784409257003653
34,34,Anantapur,Penukonda,Kondampalli,14.12,77.65,Redsoil,9.02,0.44,0.56,8.78,117,2374,684,23.96,1.05,1.07,9.75,1.32,2.89,G.Nut,0.17264957264957265,-0.05331882480957562,0.2284809410700147,1.2491803278688525,-0.384460141271443
35,35,Anantapur,Penukonda,Kondampalli,14.12,77.65,Redsoil,7.9,0.19,0.88,19.0,265,1925,444,8.36,0.97,1.13,2.48,1.2,10.55,G.Nut,0.17264957264957265,-0.05331882480957562,0.2284809410700147,1.2491803278688525,-0.384460141271443
36,36,Anantapur,Penukonda,Kondampalli,14.11,77.65,Redsoil,8.71,0.35,0.32,3.61,84,1524,542,14.71,0.36,0.86,2.59,0.62,5.99,G.Nut,0.16319333119589613,-0.06934343951654205,0.20480424898402605,1.3558441558441556,-0.4040247678018576
37,37,Anantapur,Penukonda,Kondampalli,14.11,77.65,Redsoil,7.48,1.59,0.36,7.67,117,1398,244,81.35,0.55,0.43,2.53,0.52,11.4,G.Nut,0.16319333119589613,-0.06934343951654205,0.20480424898402605,1.3558441558441556,-0.4040247678018576
38,38,Anantapur,Penukonda,Kondampalli,14.11,77.65,Redsoil,5.2,0.09,0.16,16.32,103,166,35,5.03,0.42,0.25,9.67,0.37,8.03,G.Nut,0.16319333119589613,-0.06934343951654205,0.20480424898402605,1.3558441558441556,-0.4040247678018576
39,39,Anantapur,Penukonda,Kondampalli,14.12,77.64,Redsoil,8.65,0.41,0.70,9.47,76,2380,711,26.26,1.06,1.11,7.15,0.79,3.53,G.Nut,0.14995483288166214,-0.08644826093231346,0.18050345240036972,1.3145454545454545,-0.3965990126165661
40,40,Anantapur,Penukonda,Kondampalli,14.12,77.64,Redsoil,8.05,0.11,0.19,3.62,53,2915,124,3.44,0.49,0.29,1.34,0.34,1.86,G.Nut,0.14995483288166214,-0.08644826093231346,0.18050345240036972,1.3145454545454545,-0.3965990126165661
41,41,Anantapur,Penukonda,Kondampalli,14.13,77.65,Redsoil,6.2,0.04,0.15,2.66,76,384,86,2.31,0.29,0.23,4.16,0.51,6.77,G.Nut,0.2732426303854875,0.07819521840733418,0.5615752068041477,1.163776493256262,-0.36784409257003653
42,42,Anantapur,Penukonda,Kondampalli,14.12,77.65,Redsoil,8.01,0.06,0.25,6.79,59,1150,158,2.30,0.28,0.36,4.18,0.48,3.67,G.Nut,0.17264957264957265,-0.05331882480957562,0.2284809410700147,1.2491803278688525,-0.384460141271443
43,43,Anantapur,Penukonda,Kondampalli,14.12,77.65,Redsoil,8.5,0.16,0.39,7.22,70,1414,198,6.39,0.6,0.41,6.89,0.41,3.29,G.Nut,0.17264957264957265,-0.05331882480957562,0.2284809410700147,1.2491803278688525,-0.384460141271443
44,44,Anantapur,Penukonda,Kondampalli,14.12,77.65,Redsoil,8.2,0.53,0.61,8.55,149,2693,590,38.65,0.58,0.91,7.88,1.0,4.36,G.Nut,0.17264957264957265,-0.05331882480957562,0.2284809410700147,1.2491803278688525,-0.384460141271443
45,45,Anantapur,Penukonda,Kondampalli,14.12,77.64,Redsoil,8.82,0.8,0.47,6.75,106,2108,655,83.30,0.29,1.42,5.24,0.74,1.83,G.Nut,0.14995483288166214,-0.08644826093231346,0.18050345240036972,1.3145454545454545,-0.3965990126165661
46,46,Anantapur,Penukonda,Kondampalli,14.12,77.65,Redsoil,6.5,0.05,0.22,4.19,108,517,98,3.02,0.32,0.36,4.74,0.45,5.84,G.Nut,0.17264957264957265,-0.05331882480957562,0.2284809410700147,1.2491803278688525,-0.384460141271443
47,47,Anantapur,Penukonda,Kondampalli,14.13,77.65,Redsoil,8.78,0.5,0.48,3.69,123,2244,607,30.73,0.31,1.33,5.39,0.84,1.82,G.Nut,0.2732426303854875,0.07819521840733418,0.5615752068041477,1.163776493256262,-0.36784409257003653
