iter	Passed	Remaining
843	1010	186
844	1011	185
845	1012	184
846	1013	183
847	1015	181
848	1016	180
849	1017	179
850	1018	178
851	1020	177
852	1021	176
853	1022	174
854	1023	173
855	1025	172
856	1026	171
857	1027	170
858	1028	168
859	1029	167
860	1030	166
861	1031	165
862	1032	163
863	1034	162
864	1035	161
865	1036	160
866	1037	159
867	1038	157
868	1039	156
869	1040	155
870	1041	154
871	1043	153
872	1044	151
873	1045	150
874	1046	149
875	1047	148
876	1048	147
877	1050	145
878	1051	144
879	1052	143
880	1053	142
881	1054	141
882	1055	139
883	1056	138
884	1058	137
885	1059	136
886	1060	135
887	1061	133
888	1062	132
889	1063	131
890	1064	130
891	1066	129
892	1067	127
893	1068	126
894	1069	125
895	1070	124
896	1071	123
897	1072	121
898	1073	120
899	1075	119
900	1076	118
901	1077	117
902	1078	115
903	1079	114
904	1080	113
905	1081	112
906	1082	111
907	1084	109
908	1085	108
909	1086	107
910	1087	106
911	1088	105
912	1089	103
913	1091	102
914	1092	101
915	1093	100
916	1094	99
917	1095	97
918	1096	96
919	1097	95
920	1099	94
921	1100	93
922	1101	91
923	1102	90
924	1103	89
925	1104	88
926	1105	87
927	1106	85
928	1108	84
929	1109	83
930	1110	82
931	1111	81
932	1112	79
933	1113	78
934	1114	77
935	1116	76
936	1117	75
937	1118	73
938	1119	72
939	1120	71
940	1121	70
941	1122	69
942	1124	67
943	1125	66
944	1126	65
945	1127	64
946	1128	63
947	1129	61
948	1130	60
949	1132	59
950	1133	58
951	1134	57
952	1135	55
953	1136	54
954	1137	53
955	1138	52
956	1139	51
957	1141	50
958	1142	48
959	1143	47
960	1144	46
961	1146	45
962	1147	44
963	1148	42
964	1150	41
965	1151	40
966	1152	39
967	1153	38
968	1154	36
969	1155	35
970	1156	34
971	1158	33
972	1159	32
973	1160	30
974	1161	29
975	1162	28
976	1164	27
977	1165	26
978	1166	25
979	1168	23
980	1169	22
981	1170	21
982	1172	20
983	1173	19
984	1174	17
985	1175	16
986	1176	15
987	1177	14
988	1179	13
989	1180	11
990	1181	10
991	1182	9
992	1183	8
993	1184	7
994	1185	5
995	1187	4
996	1188	3
997	1189	2
998	1190	1
999	1191	0
