,Latitude,Longitude,District,Mandal,Village,SoilType,pH,EC,OC,P,K,Ca,Mg,S,Zn,B,Fe,Cu,Mn,Crop
2653,14.44,80.07,Nellore,T.P.Gudur,Peduru,Black,7.18,0.71,0.59,11.44,163.0,2530.0,770.0,93.9,2.17,2.11,91.48,3.93,15.25,Paddy
2654,14.37,80.07,Nellore,T.P.Gudur,T.P.Gudur-1,Black,7.08,1.04,0.82,7.57,156.0,1915.0,659.0,245.54,1.67,1.83,74.3,4.51,12.89,Paddy
2655,14.38,80.07,Nellore,T.P.Gudur,T.P.Gudur-1,Black,6.26,0.58,0.78,7.68,151.0,1551.0,580.0,122.9,2.63,2.45,127.63,5.01,21.32,Paddy
2656,14.39,80.07,Nellore,T.P.Gudur,T.P.Gudur-1,Black,8.4,0.52,0.44,3.54,203.0,3007.0,1099.0,65.99,1.25,1.71,44.08,4.52,10.1,Paddy
2657,14.43,80.08,Nellore,T.P.Gudur,T.P.Gudur-1,Black,7.2,0.74,0.77,27.88,175.0,1897.0,672.0,122.74,2.67,2.28,87.12,4.68,19.85,Paddy
2658,14.37,80.09,Nellore,T.P.Gudur,T.P.Gudur-1,Black,8.43,0.81,0.47,6.1,182.0,2598.0,476.0,95.92,3.61,1.22,48.87,3.69,8.43,Paddy
2659,14.39,80.08,Nellore,T.P.Gudur,T.P.Gudur-1,Black,8.33,0.49,0.58,13.2,176.0,2928.0,625.0,75.3,2.36,1.34,56.7,3.76,9.07,Paddy
2660,14.38,80.07,Nellore,T.P.Gudur,T.P.Gudur-1,Black,6.93,0.5,0.71,5.67,153.0,1723.0,611.0,105.56,1.6,2.19,82.44,4.27,24.29,Paddy
2661,14.37,80.08,Nellore,T.P.Gudur,T.P.Gudur-1,Black,7.4,0.91,0.92,5.63,321.0,3595.0,1475.0,132.95,1.33,3.61,91.06,7.12,29.93,Paddy
2662,14.39,80.08,Nellore,T.P.Gudur,T.P.Gudur-1,Black,8.23,1.13,0.52,3.02,176.0,2901.0,531.0,261.45,1.66,1.22,42.63,3.87,2.73,Paddy
2663,14.37,80.07,Nellore,T.P.Gudur,T.P.Gudur-1,Black,7.28,0.94,0.75,13.34,291.0,2803.0,1248.0,84.54,2.75,2.78,93.56,6.23,33.07,Paddy
2664,14.38,80.08,Nellore,T.P.Gudur,T.P.Gudur-1,Black,8.66,0.91,0.35,4.12,107.0,2368.0,481.0,100.46,2.33,1.02,24.81,3.0,4.29,Paddy
2665,14.37,80.08,Nellore,T.P.Gudur,T.P.Gudur-1,Black,7.9,1.06,0.9,5.99,282.0,3325.0,1292.0,112.63,1.59,2.96,86.19,6.77,34.39,Paddy
2666,14.37,80.08,Nellore,T.P.Gudur,T.P.Gudur-1,Black,8.44,0.79,0.45,3.29,227.0,3738.0,1297.0,124.64,0.86,2.18,56.28,5.12,18.29,Paddy
2667,14.38,80.08,Nellore,T.P.Gudur,T.P.Gudur-1,Black,8.05,0.66,0.63,11.43,128.0,1704.0,211.0,96.35,3.58,1.22,49.07,2.59,8.41,Paddy
2668,14.38,80.08,Nellore,T.P.Gudur,T.P.Gudur-1,Black,5.9,0.58,0.47,7.44,137.0,949.0,259.0,126.33,3.68,1.57,74.53,2.78,13.49,Paddy
2669,14.39,80.08,Nellore,T.P.Gudur,T.P.Gudur-1,Black,6.47,0.45,0.74,6.13,140.0,1542.0,523.0,54.22,3.38,1.65,95.37,4.03,6.2,Paddy
2670,14.38,80.09,Nellore,T.P.Gudur,T.P.Gudur-1,Black,5.8,0.46,0.9,5.01,137.0,1352.0,414.0,91.11,5.57,1.65,100.2,4.02,4.55,Paddy
2671,14.39,80.09,Nellore,T.P.Gudur,T.P.Gudur-1,Black,7.6,0.89,0.59,3.8,105.0,2005.0,309.0,211.02,2.22,1.09,36.56,3.47,11.54,Paddy
2672,14.38,80.1,Nellore,T.P.Gudur,T.P.Gudur-1,Black,6.43,0.49,0.88,5.58,141.0,1736.0,454.0,84.73,10.53,2.06,78.28,4.46,7.21,Paddy
2673,14.39,80.08,Nellore,T.P.Gudur,T.P.Gudur-1,Black,6.91,0.58,0.81,3.38,164.0,1902.0,713.0,98.05,1.67,2.17,84.54,4.19,21.57,Paddy
2674,14.37,80.09,Nellore,T.P.Gudur,T.P.Gudur-1,Black,8.62,0.47,0.45,4.8,261.0,2780.0,698.0,55.55,0.53,1.27,51.06,4.26,9.83,Paddy
2675,14.38,80.09,Nellore,T.P.Gudur,T.P.Gudur-1,Black,6.14,0.32,0.67,2.99,83.0,864.0,273.0,54.79,5.26,1.58,70.71,2.13,1.5,Paddy
2676,14.37,80.08,Nellore,T.P.Gudur,T.P.Gudur-1,Black,8.3,0.59,0.34,3.62,186.0,2960.0,999.0,85.79,0.41,1.59,26.7,3.91,11.84,Paddy
2677,14.37,80.09,Nellore,T.P.Gudur,T.P.Gudur-1,Black,8.33,0.43,0.51,3.23,202.0,3229.0,970.0,29.85,0.53,1.18,42.43,4.49,15.25,Paddy
2678,14.38,80.09,Nellore,T.P.Gudur,T.P.Gudur-1,Black,5.8,0.44,0.62,6.05,108.0,1181.0,338.0,93.68,6.37,1.35,96.9,3.21,7.95,Paddy
2679,14.39,80.08,Nellore,T.P.Gudur,T.P.Gudur-1,Black,8.51,0.58,0.62,3.31,139.0,3096.0,644.0,79.91,2.47,1.23,58.17,5.32,9.13,Paddy
2680,14.37,80.09,Nellore,T.P.Gudur,T.P.Gudur-1,Black,7.6,0.51,0.81,25.07,371.0,3103.0,1312.0,52.52,2.18,2.73,106.9,6.02,23.78,Paddy
2681,14.38,80.08,Nellore,T.P.Gudur,T.P.Gudur-1,Black,6.05,0.48,0.71,3.2,130.0,1295.0,446.0,94.88,5.45,2.19,111.43,4.61,15.91,Paddy
2682,14.37,80.09,Nellore,T.P.Gudur,T.P.Gudur-1,Black,8.55,0.47,0.33,5.59,235.0,3616.0,1202.0,35.16,0.63,1.57,34.83,2.95,14.21,Paddy
2683,14.4,80.09,Nellore,T.P.Gudur,T.P.Gudur-1,Black,7.82,2.45,0.63,11.12,166.0,2189.0,591.0,479.3,2.07,1.6,56.9,3.8,16.87,Paddy
2684,14.38,80.07,Nellore,T.P.Gudur,T.P.Gudur-1,Black,7.51,0.54,0.51,10.66,252.0,3003.0,1387.0,61.44,0.63,2.28,67.75,4.97,21.52,Paddy
2685,14.39,80.07,Nellore,T.P.Gudur,T.P.Gudur-1,Black,7.11,0.58,0.93,14.64,179.0,2043.0,748.0,167.34,2.39,2.5,97.8,5.34,22.25,Paddy
2686,14.38,80.09,Nellore,T.P.Gudur,T.P.Gudur-1,Black,6.41,0.4,1.01,2.86,180.0,1727.0,582.0,92.83,6.62,2.63,93.45,5.2,4.6,Paddy
2687,14.37,80.07,Nellore,T.P.Gudur,T.P.Gudur-1,Black,7.84,1.52,0.74,7.26,336.0,3518.0,1509.0,206.71,3.62,3.0,64.14,5.93,30.43,Paddy
2688,14.39,80.08,Nellore,T.P.Gudur,T.P.Gudur-1,Black,7.91,0.64,0.91,2.6,126.0,1501.0,646.0,35.64,5.91,2.19,75.16,4.12,16.55,Paddy
2689,14.38,80.09,Nellore,T.P.Gudur,T.P.Gudur-1,Black,6.45,0.58,0.85,6.44,94.0,1181.0,466.0,53.48,1.08,2.04,66.75,3.0,13.14,Paddy
2690,14.39,80.08,Nellore,T.P.Gudur,T.P.Gudur-1,Black,8.06,0.67,0.49,1.97,142.0,1772.0,664.0,111.47,0.61,1.28,51.33,3.58,18.42,Paddy
2691,14.39,80.08,Nellore,T.P.Gudur,T.P.Gudur-1,Black,7.93,0.52,0.5,4.09,142.0,1541.0,591.0,76.48,1.38,1.49,66.37,3.6,20.81,Paddy
2692,14.38,80.09,Nellore,T.P.Gudur,T.P.Gudur-1,Black,5.95,0.55,0.66,4.15,110.0,1179.0,373.0,139.59,1.93,1.8,101.93,3.63,5.32,Paddy
2693,14.39,80.09,Nellore,T.P.Gudur,T.P.Gudur-1,Black,6.72,0.37,0.52,8.82,78.0,949.0,271.0,42.76,5.19,1.34,59.6,2.77,3.83,Paddy
2694,14.4,80.07,Nellore,T.P.Gudur,T.P.Gudur-2,Black,8.65,0.79,0.55,14.41,228.0,3868.0,1400.0,77.66,1.66,2.08,66.65,6.23,16.57,Paddy
2695,14.41,80.06,Nellore,T.P.Gudur,T.P.Gudur-2,Black,8.27,0.83,0.78,11.6,354.0,4601.0,1558.0,122.32,1.96,2.23,61.0,6.01,16.6,Paddy
2696,14.4,80.06,Nellore,T.P.Gudur,T.P.Gudur-2,Black,8.12,1.16,0.89,11.82,357.0,5257.0,1863.0,143.72,1.01,2.1,49.64,5.4,15.18,Paddy
2697,14.4,80.06,Nellore,T.P.Gudur,T.P.Gudur-2,Black,8.07,0.69,0.81,6.43,310.0,4956.0,1857.0,77.49,1.49,2.53,48.23,6.62,18.06,Paddy
2698,14.42,80.08,Nellore,T.P.Gudur,T.P.Gudur-2,Black,8.06,2.2,1.02,10.68,302.0,3745.0,1577.0,253.89,4.46,3.24,79.53,6.68,28.79,Paddy
2699,14.42,80.07,Nellore,T.P.Gudur,T.P.Gudur-2,Black,8.07,2.16,0.9,8.16,317.0,4583.0,1801.0,318.73,2.07,2.74,60.09,6.85,23.02,Paddy
2700,14.41,80.06,Nellore,T.P.Gudur,T.P.Gudur-2,Black,8.38,0.44,0.63,9.82,320.0,4019.0,1303.0,52.21,1.41,1.67,43.5,6.0,11.57,Paddy
2701,14.41,80.06,Nellore,T.P.Gudur,T.P.Gudur-2,Black,8.24,0.92,0.82,8.19,324.0,4730.0,1696.0,158.12,2.27,2.03,49.38,5.01,13.71,Paddy
2702,14.4,80.06,Nellore,T.P.Gudur,T.P.Gudur-2,Black,8.15,0.75,0.68,6.54,277.0,4462.0,1587.0,109.09,0.98,2.2,45.71,5.28,17.97,Paddy
2703,14.42,80.07,Nellore,T.P.Gudur,T.P.Gudur-2,Black,7.42,1.33,1.0,4.46,223.0,2518.0,1046.0,102.66,1.37,2.57,106.64,5.42,32.73,Paddy
2704,14.41,80.06,Nellore,T.P.Gudur,T.P.Gudur-2,Black,7.91,1.0,0.96,13.25,352.0,4882.0,1413.0,148.46,1.03,1.68,47.69,5.1,16.0,Paddy
2705,14.42,80.08,Nellore,T.P.Gudur,T.P.Gudur-2,Black,7.75,0.95,0.78,7.98,291.0,3576.0,1483.0,175.85,0.95,2.65,82.87,6.0,20.5,Paddy
2706,14.4,80.07,Nellore,T.P.Gudur,T.P.Gudur-2,Black,7.95,0.71,0.72,5.34,257.0,3527.0,1512.0,94.0,1.07,2.29,56.08,5.97,21.84,Paddy
2707,14.42,80.07,Nellore,T.P.Gudur,T.P.Gudur-2,Black,8.08,0.64,0.57,6.4,265.0,3841.0,1373.0,81.72,0.51,1.86,37.2,4.96,14.0,Paddy
2708,14.42,80.08,Nellore,T.P.Gudur,T.P.Gudur-2,Black,8.2,0.98,0.86,7.68,292.0,3446.0,1439.0,123.59,1.24,2.69,75.95,6.34,28.22,Paddy
2709,14.4,80.06,Nellore,T.P.Gudur,T.P.Gudur-2,Black,7.75,0.89,0.93,8.06,278.0,4555.0,1490.0,123.37,0.9,2.42,58.67,5.7,23.37,Paddy
2710,14.42,80.08,Nellore,T.P.Gudur,T.P.Gudur-2,Black,8.19,0.87,0.71,3.34,210.0,2461.0,1058.0,146.98,0.67,2.28,65.68,5.24,19.82,Paddy
2711,14.4,80.06,Nellore,T.P.Gudur,T.P.Gudur-2,Black,8.0,2.4,0.89,7.67,353.0,3972.0,1620.0,351.97,1.59,2.42,84.35,5.75,44.12,Paddy
2712,14.4,80.07,Nellore,T.P.Gudur,T.P.Gudur-2,Black,7.9,1.83,0.92,32.05,194.0,3258.0,728.0,412.27,8.11,2.05,45.76,5.38,13.1,Paddy
2713,14.42,80.07,Nellore,T.P.Gudur,T.P.Gudur-2,Black,6.32,0.78,0.93,11.36,108.0,1951.0,569.0,173.14,2.78,2.12,134.43,5.57,27.23,Paddy
2714,14.41,80.08,Nellore,T.P.Gudur,T.P.Gudur-2,Black,8.05,0.6,0.55,19.02,103.0,2016.0,310.0,120.87,5.65,1.24,42.0,1.79,4.94,Paddy
2715,14.4,80.08,Nellore,T.P.Gudur,T.P.Gudur-2,Black,8.24,0.77,0.61,23.68,181.0,1895.0,437.0,70.09,7.01,1.39,60.32,4.42,9.02,Paddy
2716,14.4,80.09,Nellore,T.P.Gudur,T.P.Gudur-2,Black,6.38,1.01,0.71,17.55,189.0,997.0,293.0,183.05,8.92,1.67,100.36,2.31,2.77,Paddy
2717,14.41,80.09,Nellore,T.P.Gudur,T.P.Gudur-2,Black,7.43,0.11,0.63,12.95,34.0,305.0,94.0,6.47,0.61,0.16,8.56,0.36,11.81,Paddy
2718,14.4,80.09,Nellore,T.P.Gudur,T.P.Gudur-2,Black,6.73,0.2,0.74,9.22,33.0,251.0,77.0,18.79,0.63,0.22,17.79,0.36,19.52,Paddy
2719,14.39,80.08,Nellore,T.P.Gudur,T.P.Gudur-2,Black,8.22,0.41,0.77,16.41,127.0,2086.0,466.0,50.37,2.49,1.27,80.79,4.2,7.3,Paddy
2720,14.41,80.09,Nellore,T.P.Gudur,T.P.Gudur-2,Black,8.25,0.79,0.65,12.71,164.0,3295.0,768.0,169.98,5.21,1.72,74.78,4.6,12.11,Paddy
2721,14.41,80.09,Nellore,T.P.Gudur,T.P.Gudur-2,Black,8.74,0.49,0.7,5.1,55.0,1065.0,266.0,15.83,0.74,0.69,26.15,2.49,15.01,Paddy
2722,14.42,80.09,Nellore,T.P.Gudur,T.P.Gudur-2,Black,8.31,0.5,0.81,4.55,164.0,4489.0,1066.0,72.2,0.99,1.23,35.78,3.88,9.58,Paddy
2723,14.41,80.09,Nellore,T.P.Gudur,T.P.Gudur-2,Black,8.35,0.88,0.58,9.39,66.0,895.0,161.0,71.98,0.95,0.82,34.14,1.74,6.47,Paddy
2724,14.42,80.07,Nellore,T.P.Gudur,T.P.Gudur-2,Black,8.05,0.5,0.37,4.9,115.0,1783.0,495.0,74.95,0.74,0.99,31.12,3.07,11.17,Paddy
2725,14.42,80.07,Nellore,T.P.Gudur,T.P.Gudur-2,Black,8.08,0.59,0.72,8.07,125.0,2780.0,580.0,109.21,1.04,1.15,53.81,4.44,12.61,Paddy
2726,14.42,80.08,Nellore,T.P.Gudur,T.P.Gudur-2,Black,8.1,0.53,0.42,4.56,90.0,2474.0,387.0,121.4,1.83,0.78,35.14,2.32,9.97,Paddy
2727,14.42,80.07,Nellore,T.P.Gudur,T.P.Gudur-2,Black,8.01,1.26,0.79,5.09,90.0,2514.0,439.0,305.75,3.3,1.43,49.72,3.24,7.51,Paddy
2728,14.42,80.07,Nellore,T.P.Gudur,T.P.Gudur-2,Black,7.88,0.67,0.8,5.51,88.0,2593.0,388.0,138.55,1.99,1.02,40.51,3.1,6.89,Paddy
2729,14.42,80.07,Nellore,T.P.Gudur,T.P.Gudur-2,Black,7.13,1.46,0.77,10.57,75.0,1915.0,430.0,355.98,5.44,1.86,67.68,3.17,5.22,Paddy
2730,14.42,80.08,Nellore,T.P.Gudur,T.P.Gudur-2,Black,6.02,0.53,1.04,13.51,104.0,2741.0,621.0,131.04,1.52,2.05,127.76,5.02,14.85,Paddy
2731,14.42,80.07,Nellore,T.P.Gudur,T.P.Gudur-2,Black,8.34,0.88,0.78,27.1,282.0,3207.0,932.0,317.02,2.08,2.27,73.25,6.2,15.32,Paddy
2732,14.41,80.07,Nellore,T.P.Gudur,T.P.Gudur-2,Black,7.46,0.86,0.74,12.2,126.0,1652.0,381.0,173.98,8.51,1.85,73.21,3.68,17.91,Paddy
2733,14.41,80.07,Nellore,T.P.Gudur,T.P.Gudur-2,Black,8.18,0.93,0.54,5.65,89.0,2337.0,446.0,171.42,0.88,1.54,31.12,2.46,6.94,Paddy
2734,14.37,80.05,Nellore,T.P.Gudur,Varigonda,Black,8.26,0.81,0.4,16.19,149.0,2969.0,751.0,136.07,2.08,1.31,54.94,3.49,8.55,Paddy
2735,14.38,80.05,Nellore,T.P.Gudur,Varigonda,Black,8.2,1.91,0.38,13.45,143.0,3031.0,812.0,270.31,0.9,1.35,15.26,4.7,3.15,Paddy
2736,14.38,80.05,Nellore,T.P.Gudur,Varigonda,Black,6.2,1.24,0.61,17.28,112.0,1017.0,474.0,56.85,5.86,1.41,120.74,3.4,12.23,Paddy
2737,14.37,80.05,Nellore,T.P.Gudur,Varigonda,Black,6.23,0.66,0.88,12.6,118.0,1610.0,749.0,59.74,2.09,2.13,140.36,4.89,23.06,Paddy
2738,14.38,80.06,Nellore,T.P.Gudur,Varigonda,Black,8.01,1.83,0.78,6.99,176.0,3650.0,780.0,547.57,3.86,1.84,60.17,4.82,7.61,Paddy
2739,14.41,80.05,Nellore,T.P.Gudur,Varigonda,Black,7.86,0.68,0.84,18.08,252.0,3307.0,1176.0,99.6,3.57,2.78,86.41,6.16,20.74,Paddy
2740,14.38,80.07,Nellore,T.P.Gudur,Varigonda,Black,5.25,1.06,1.15,13.04,182.0,2371.0,902.0,285.96,1.52,3.36,210.83,7.68,56.2,Paddy
2741,14.4,80.05,Nellore,T.P.Gudur,Varigonda,Black,7.25,0.58,0.86,22.68,250.0,3108.0,1131.0,120.96,1.24,2.73,133.17,6.77,30.24,Paddy
2742,14.39,80.06,Nellore,T.P.Gudur,Varigonda,Black,7.66,0.48,0.48,9.97,106.0,1723.0,534.0,79.65,1.57,1.3,48.82,3.56,22.56,Paddy
2743,14.38,80.07,Nellore,T.P.Gudur,Varigonda,Black,6.81,0.54,0.33,4.84,148.0,2358.0,977.0,59.53,1.01,1.4,50.88,3.91,32.74,Paddy
2744,14.39,80.07,Nellore,T.P.Gudur,Varigonda,Black,8.32,0.49,0.7,6.1,216.0,3535.0,783.0,65.92,3.88,1.69,96.81,9.73,20.37,Paddy
2745,14.39,80.05,Nellore,T.P.Gudur,Varigonda,Black,8.05,0.62,0.46,11.95,70.0,2505.0,451.0,93.83,1.89,1.09,53.64,4.15,10.16,Paddy
2746,14.36,80.12,Nellore,T.P.Gudur,Varigonda,Black,8.0,1.21,0.65,7.67,149.0,2679.0,914.0,168.72,1.78,2.04,64.9,6.25,26.08,Paddy
2747,14.39,80.05,Nellore,T.P.Gudur,Varigonda,Black,7.8,4.96,0.73,12.58,114.0,4185.0,829.0,753.58,1.99,1.58,70.16,4.55,14.35,Paddy
2748,14.39,80.06,Nellore,T.P.Gudur,Varigonda,Black,7.4,0.68,1.0,12.17,213.0,3043.0,1068.0,108.64,0.95,2.43,96.8,7.66,32.24,Paddy
2749,14.38,80.06,Nellore,T.P.Gudur,Varigonda,Black,8.33,0.71,0.63,13.56,207.0,3315.0,780.0,72.21,1.91,1.57,59.61,6.28,12.09,Paddy
2750,14.39,80.06,Nellore,T.P.Gudur,Varigonda,Black,7.49,0.68,0.64,13.86,243.0,3024.0,1093.0,135.86,1.42,2.74,114.91,7.58,34.36,Paddy
2751,14.39,80.05,Nellore,T.P.Gudur,Varigonda,Black,7.24,0.72,1.11,10.52,154.0,1944.0,830.0,66.02,1.79,1.93,75.48,4.39,21.36,Paddy
2752,14.38,80.07,Nellore,T.P.Gudur,Varigonda,Black,6.86,0.57,0.64,7.63,165.0,2099.0,759.0,92.13,1.2,1.86,91.41,4.9,18.31,Paddy
2753,14.38,80.07,Nellore,T.P.Gudur,Varigonda,Black,8.03,0.57,0.48,6.38,236.0,3645.0,1647.0,44.07,0.86,2.8,49.19,5.75,35.85,Paddy
2754,14.39,80.06,Nellore,T.P.Gudur,Varigonda,Black,6.92,0.61,0.87,10.61,243.0,2907.0,1112.0,117.12,1.55,2.19,118.39,7.12,34.5,Paddy
2755,14.39,80.06,Nellore,T.P.Gudur,Varigonda,Black,6.53,0.9,0.81,8.41,169.0,2423.0,896.0,160.59,2.58,2.63,96.38,6.47,60.26,Paddy
2756,14.4,80.05,Nellore,T.P.Gudur,Varigonda,Black,7.72,1.03,0.97,21.26,245.0,3001.0,1172.0,190.29,3.44,2.69,109.74,8.2,28.88,Paddy
2757,14.39,80.06,Nellore,T.P.Gudur,Varigonda,Black,5.7,1.1,0.89,9.7,172.0,2469.0,927.0,164.96,2.49,2.93,149.01,7.3,40.78,Paddy
2758,14.38,80.07,Nellore,T.P.Gudur,Varigonda,Black,6.8,0.91,0.93,19.55,270.0,3205.0,1232.0,51.04,2.78,1.78,141.55,7.84,27.15,Paddy
2759,14.37,80.06,Nellore,T.P.Gudur,Varigonda,Black,7.96,0.86,0.7,10.11,213.0,3276.0,1160.0,80.88,3.23,1.97,62.33,5.7,19.36,Paddy
2760,14.39,80.06,Nellore,T.P.Gudur,Varigonda,Black,6.5,1.28,1.09,20.21,234.0,2776.0,1041.0,350.55,1.28,3.63,147.85,8.54,53.82,Paddy
2761,14.4,80.05,Nellore,T.P.Gudur,Varigonda,Black,7.91,1.37,1.02,38.55,283.0,4227.0,1497.0,238.39,3.59,3.28,106.39,6.57,31.11,Paddy
2762,14.39,80.06,Nellore,T.P.Gudur,Varigonda,Black,7.97,0.61,0.66,22.57,113.0,2045.0,552.0,70.16,3.69,1.6,79.12,3.44,11.17,Paddy
2763,14.4,80.06,Nellore,T.P.Gudur,Varigonda,Black,6.63,0.78,0.89,13.9,259.0,3550.0,1300.0,184.49,3.66,3.3,117.06,7.24,35.05,Paddy
2764,14.4,80.06,Nellore,T.P.Gudur,Varigonda,Black,7.5,0.71,1.07,23.71,283.0,3414.0,1308.0,96.63,2.48,3.34,123.63,6.82,22.21,Paddy
2765,14.39,80.05,Nellore,T.P.Gudur,Varigonda,Black,7.13,0.34,0.5,10.22,97.0,1781.0,291.0,73.86,0.96,0.78,44.31,2.34,1.7,Paddy
2766,14.39,80.05,Nellore,T.P.Gudur,Varigonda,Black,6.75,0.48,0.43,10.71,92.0,1576.0,380.0,63.44,0.73,0.97,53.56,2.42,12.12,Paddy
2767,14.37,80.06,Nellore,T.P.Gudur,Varigonda,Black,6.05,1.18,0.82,29.28,150.0,1420.0,433.0,173.41,3.1,1.51,159.28,3.75,14.11,Paddy
2768,14.39,80.06,Nellore,T.P.Gudur,Varigonda,Black,8.0,0.48,0.95,14.74,114.0,2411.0,555.0,56.36,1.01,1.62,39.06,3.26,20.42,Paddy
2769,14.37,80.06,Nellore,T.P.Gudur,Varigonda,Black,8.23,1.03,0.45,5.47,123.0,2624.0,417.0,68.41,2.04,0.97,33.37,2.59,4.4,Paddy
2770,14.4,80.05,Nellore,T.P.Gudur,Varigonda,Black,7.83,2.2,0.88,30.28,208.0,3091.0,1227.0,248.32,4.59,2.37,89.71,5.5,21.96,Paddy
2771,14.4,80.05,Nellore,T.P.Gudur,Varigonda,Black,7.92,0.66,0.82,17.77,249.0,3308.0,1197.0,89.15,3.56,2.87,85.48,6.36,20.38,Paddy
2772,14.4,80.05,Nellore,T.P.Gudur,Varigonda,Black,8.07,0.71,0.87,10.94,265.0,4296.0,1455.0,101.86,3.19,2.74,80.04,6.01,21.49,Paddy
2773,14.38,80.07,Nellore,T.P.Gudur,Varigonda,Black,7.5,0.93,0.86,10.93,237.0,3153.0,1374.0,60.68,3.95,2.82,87.85,8.15,39.32,Paddy
2774,14.4,80.05,Nellore,T.P.Gudur,Varigonda,Black,6.55,1.11,0.8,10.83,170.0,2295.0,858.0,245.65,8.65,2.79,93.79,5.97,52.17,Paddy
2775,14.37,80.06,Nellore,T.P.Gudur,Varigonda,Black,8.3,0.65,0.24,2.49,161.0,2453.0,1264.0,21.94,0.25,1.51,19.81,2.8,10.36,Paddy
2776,14.4,80.06,Nellore,T.P.Gudur,Varigonda,Black,8.32,0.55,0.62,7.67,226.0,3390.0,1409.0,38.43,1.27,2.1,51.41,6.37,27.48,Paddy
2777,14.4,80.05,Nellore,T.P.Gudur,Varigonda,Black,7.33,0.99,0.92,16.18,256.0,3678.0,1283.0,167.76,4.98,2.88,93.72,6.81,34.93,Paddy
2778,14.4,80.06,Nellore,T.P.Gudur,Varigonda,Black,7.58,0.69,0.92,11.38,256.0,2947.0,1190.0,80.02,1.19,2.25,113.25,7.43,31.83,Paddy
2779,14.41,80.05,Nellore,T.P.Gudur,Varigonda,Black,8.15,1.33,0.35,4.69,187.0,2852.0,918.0,174.47,1.12,1.38,24.15,3.44,13.69,Paddy
2780,14.39,80.06,Nellore,T.P.Gudur,Varigonda,Black,7.55,1.26,0.9,17.75,132.0,2777.0,602.0,212.25,8.86,1.75,71.08,4.15,12.3,Paddy
2781,14.4,80.06,Nellore,T.P.Gudur,Varigonda,Black,7.5,0.94,0.8,10.94,269.0,3811.0,1307.0,163.87,1.17,2.34,76.04,6.53,20.68,Paddy
2782,14.39,80.05,Nellore,T.P.Gudur,Varigonda,Black,8.35,0.58,0.58,7.37,176.0,3922.0,907.0,85.54,1.58,1.31,43.12,5.62,10.84,Paddy
2783,14.41,80.05,Nellore,T.P.Gudur,Varigonda,Black,8.0,1.05,0.85,24.69,232.0,4115.0,1085.0,158.83,3.56,1.86,95.94,6.58,18.47,Paddy
2784,14.37,80.06,Nellore,T.P.Gudur,Varigonda,Black,7.67,1.04,0.72,30.2,201.0,4132.0,1057.0,168.01,5.06,1.32,76.73,6.04,12.01,Paddy
2785,14.37,80.06,Nellore,T.P.Gudur,Varigonda,Black,7.4,0.89,0.83,16.32,246.0,3181.0,1323.0,69.71,3.54,2.84,99.08,8.34,32.34,Paddy
2786,14.39,80.05,Nellore,T.P.Gudur,Varigonda,Black,7.9,1.05,0.76,9.5,222.0,4029.0,1036.0,237.27,1.69,1.78,48.0,4.57,10.41,Paddy
2787,14.4,80.05,Nellore,T.P.Gudur,Varigonda,Black,7.68,0.82,0.81,17.17,262.0,3872.0,1326.0,106.53,3.86,2.25,93.89,6.85,25.77,Paddy
2788,14.39,80.06,Nellore,T.P.Gudur,Varigonda, Black,7.0,0.45,0.7,8.38,177.0,2471.0,946.0,55.51,2.49,1.32,94.28,6.33,30.0,Paddy
2789,14.39,80.05,Nellore,T.P.Gudur,Varigonda,Black,8.47,0.41,0.36,6.12,93.0,2942.0,603.0,30.05,0.93,0.84,44.84,3.89,12.48,Paddy
2790,14.39,80.05,Nellore,T.P.Gudur,Varigonda,Black,8.57,0.41,0.25,8.52,110.0,2505.0,575.0,38.91,2.82,0.61,30.77,3.37,13.45,Paddy
2791,14.39,80.06,Nellore,T.P.Gudur,Varigonda,Black,6.55,0.47,0.82,7.26,174.0,2619.0,888.0,94.17,2.37,1.87,107.52,7.15,35.22,Paddy
2792,14.41,80.05,Nellore,T.P.Gudur,Varigonda,Black,6.8,2.32,1.05,55.5,216.0,2884.0,1023.0,427.2,12.12,2.6,146.01,5.92,17.6,Paddy
2793,14.41,80.05,Nellore,T.P.Gudur,Varigonda,Black,6.42,1.05,1.15,39.23,223.0,2791.0,1025.0,210.29,4.21,2.79,183.94,7.71,22.37,Paddy
2794,15.49,79.5,Prakasam,Kanigiri,Baduguleru,Red,8.31,0.11,0.2,10.71,118.0,1029.0,180.0,4.54,0.76,0.63,1.96,0.62,8.6,Cotton
2795,15.49,79.5,Prakasam,Kanigiri,Baduguleru,Red,6.65,0.08,0.12,12.38,75.0,327.0,126.0,2.69,0.58,0.52,15.92,0.6,2.48,Cotton
2796,15.49,79.5,Prakasam,Kanigiri,Baduguleru,Red,6.74,0.05,0.13,3.46,64.0,381.0,137.0,2.14,0.26,0.46,10.92,0.66,15.36,Cotton
2797,15.49,79.5,Prakasam,Kanigiri,Baduguleru,Red,6.31,0.03,0.16,2.82,129.0,445.0,124.0,2.33,0.18,0.44,7.72,0.62,16.22,Cotton
2798,15.49,79.5,Prakasam,Kanigiri,Baduguleru,Red,8.6,0.09,0.09,4.74,62.0,451.0,163.0,2.93,0.24,0.49,0.92,0.28,4.76,Cotton
