,Latitude,Longitude,District,Mandal,Village,SoilType,pH,EC,OC,P,K,Ca,Mg,S,Zn,B,Fe,Cu,Mn,Crop
59,14.11,77.65,Anantapur,Penukonda,Settipalli,Redsoil,8.63,0.17,0.13,2.35,57.0,3544.0,133.0,3.23,0.1,0.41,0.79,0.51,1.8,G.Nut
60,14.12,77.65,Anantapur,Penukonda,Settipalli,Redsoil,7.28,0.08,0.27,6.99,53.0,608.0,109.0,4.3,0.86,0.36,3.99,0.52,10.34,G.Nut
61,14.12,77.65,Anantapur,Penukonda,Settipalli,Redsoil,8.57,0.22,0.1,2.51,54.0,3030.0,118.0,2.8,0.12,0.32,0.97,0.55,2.45,G.Nut
62,14.12,77.64,Anantapur,Penukonda,Settipalli,Redsoil,8.21,0.12,0.25,7.72,60.0,926.0,79.0,4.69,1.2,0.26,2.75,0.4,7.82,G.Nut
63,14.11,77.65,Anantapur,Penukonda,Settipalli,Redsoil,8.32,0.1,0.15,2.48,114.0,3142.0,105.0,2.2,0.16,0.28,3.21,0.87,6.7,G.Nut
64,14.12,77.64,Anantapur,Penukonda,Settipalli,Redsoil,8.21,0.36,0.41,14.95,94.0,2992.0,84.0,30.1,1.13,0.89,2.81,0.55,9.52,G.Nut
65,14.12,77.64,Anantapur,Penukonda,Settipalli,Redsoil,8.2,0.12,0.3,15.16,183.0,1167.0,148.0,3.02,0.47,0.64,1.91,0.33,3.48,G.Nut
66,14.12,77.65,Anantapur,Penukonda,Settipalli,Redsoil,7.95,0.09,0.19,4.66,43.0,820.0,123.0,3.26,0.2,0.23,1.45,0.24,3.75,G.Nut
67,14.12,77.65,Anantapur,Penukonda,Settipalli,Redsoil,5.62,0.04,0.14,4.39,70.0,295.0,78.0,2.08,0.49,0.17,8.61,0.54,8.11,G.Nut
68,14.11,77.65,Anantapur,Penukonda,Settipalli,Redsoil,5.86,0.03,0.14,5.31,44.0,451.0,67.0,1.79,0.27,0.19,8.34,0.38,7.05,G.Nut
69,14.12,77.65,Anantapur,Penukonda,Settipalli,Redsoil,5.55,0.05,0.23,9.05,64.0,243.0,24.0,3.9,0.49,0.19,7.98,0.31,5.31,G.Nut
70,14.12,77.65,Anantapur,Penukonda,Settipalli,Redsoil,6.18,0.04,0.18,3.13,50.0,930.0,124.0,2.14,0.23,0.2,7.0,0.39,10.49,G.Nut
71,14.12,77.65,Anantapur,Penukonda,Settipalli,Redsoil,6.85,0.04,0.13,4.65,58.0,788.0,63.0,1.44,0.2,0.2,4.03,0.36,7.46,G.Nut
72,14.12,77.64,Anantapur,Penukonda,Settipalli,Redsoil,8.35,0.09,0.22,8.34,68.0,1498.0,190.0,2.45,0.27,0.36,2.53,0.52,4.17,G.Nut
73,14.12,77.64,Anantapur,Penukonda,Settipalli,Redsoil,8.4,0.15,0.44,11.41,206.0,2882.0,305.0,6.35,0.36,0.7,2.52,0.43,4.69,G.Nut
74,14.12,77.64,Anantapur,Penukonda,Settipalli,Redsoil,8.56,0.14,0.46,11.54,122.0,3000.0,532.0,3.7,0.43,0.87,7.85,0.89,2.08,G.Nut
75,14.12,77.64,Anantapur,Penukonda,Settipalli,Redsoil,8.5,0.14,0.22,3.56,67.0,2678.0,455.0,3.31,0.24,0.54,3.06,0.71,2.35,G.Nut
76,14.09,77.69,Anantapur,Penukonda,Settipalli,Redsoil,6.0,0.08,0.19,4.73,80.0,657.0,84.0,5.66,0.26,0.2,13.15,0.92,14.97,Horsegram
77,14.08,77.69,Anantapur,Penukonda,Settipalli,Redsoil,7.88,0.2,0.24,2.33,54.0,2052.0,92.0,5.77,0.15,0.41,3.95,0.35,3.42,G.Nut
78,14.08,77.69,Anantapur,Penukonda,Settipalli,Mixed soil,6.6,0.2,0.39,2.56,66.0,1050.0,239.0,12.03,0.41,0.33,5.79,0.47,27.19,Horsegram
79,14.08,77.69,Anantapur,Penukonda,Settipalli,Redsoil,6.16,0.12,0.73,1.51,62.0,939.0,357.0,3.83,0.24,0.46,11.47,1.31,14.53,G.Nut
80,14.08,77.6,Anantapur,Penukonda,Settipalli,Redsoil,8.2,0.23,0.35,2.61,50.0,3486.0,144.0,5.46,0.23,0.45,1.73,0.84,4.94,G.Nut
81,14.09,77.7,Anantapur,Penukonda,Settipalli,Redsoil,8.34,0.14,0.2,3.24,60.0,1528.0,96.0,2.01,0.27,0.25,2.34,0.54,2.3,G.Nut
82,14.08,77.6,Anantapur,Penukonda,Settipalli,Redsoil,6.02,0.05,0.15,1.28,27.0,727.0,157.0,3.11,0.14,0.24,6.65,0.31,16.95,G.Nut
83,14.09,77.7,Anantapur,Penukonda,Settipalli,Redsoil,7.82,0.22,0.43,3.38,63.0,2322.0,161.0,5.58,0.31,0.53,2.27,1.09,9.11,Horsegram
84,14.09,77.7,Anantapur,Penukonda,Settipalli,Redsoil,8.37,0.14,0.16,2.14,44.0,1650.0,63.0,2.06,0.14,0.25,1.49,0.4,3.66,Horsegram
85,14.08,77.69,Anantapur,Penukonda,Settipalli,Mixed soil,8.62,0.19,0.13,2.0,65.0,3913.0,335.0,3.65,0.17,0.35,1.26,0.6,2.85,G.Nut
86,14.08,77.69,Anantapur,Penukonda,Settipalli,Redsoil,8.2,0.13,0.17,3.99,50.0,1382.0,104.0,2.32,0.18,0.29,2.09,0.46,2.67,Horsegram
87,14.09,77.69,Anantapur,Penukonda,Settipalli,Redsoil,8.28,0.15,0.11,1.36,23.0,2474.0,52.0,3.31,0.11,0.21,2.01,0.33,1.63,G.Nut
88,14.09,77.69,Anantapur,Penukonda,Settipalli,Sandy soil,8.04,0.23,0.45,1.39,55.0,3003.0,187.0,6.66,0.14,0.33,2.93,0.49,6.1,Horsegram
89,14.09,77.69,Anantapur,Penukonda,Settipalli,Redsoil,7.27,0.3,0.45,1.18,56.0,1911.0,164.0,9.04,0.2,0.26,6.6,0.8,16.86,G.Nut
90,14.09,77.7,Anantapur,Penukonda,Settipalli,Redsoil,8.22,0.22,0.21,1.73,61.0,3204.0,202.0,4.96,0.26,0.27,2.66,0.66,6.66,Horsegram
91,14.09,77.69,Anantapur,Penukonda,Settipalli,Redsoil,7.33,0.27,0.29,3.13,53.0,2277.0,90.0,6.78,0.28,0.29,7.3,0.61,13.57,Horsegram
92,14.09,77.7,Anantapur,Penukonda,Settipalli,Redsoil,8.3,0.17,0.25,9.22,68.0,1964.0,59.0,2.02,0.46,0.33,3.19,0.53,6.69,Horsegram
93,14.09,77.69,Anantapur,Penukonda,Settipalli,Redsoil,5.8,0.06,0.1,6.04,43.0,462.0,38.0,3.97,0.22,0.18,9.72,0.42,13.9,G.Nut
94,14.09,77.69,Anantapur,Penukonda,Settipalli,Redsoil,7.28,0.12,0.19,13.05,62.0,705.0,65.0,3.56,0.45,0.23,4.4,0.44,8.16,G.Nut
95,14.09,77.7,Anantapur,Penukonda,Settipalli,Redsoil,6.37,0.1,0.13,1.58,60.0,742.0,268.0,3.23,0.29,0.24,4.02,0.7,9.92,Horsegram
96,14.09,77.69,Anantapur,Penukonda,Settipalli,Redsoil,6.3,0.09,0.14,1.38,69.0,655.0,240.0,2.54,0.24,0.21,4.49,0.56,8.19,G.Nut
97,14.08,77.69,Anantapur,Penukonda,Settipalli,Redsoil,8.54,0.15,0.06,2.02,49.0,3182.0,117.0,3.62,0.15,0.26,2.66,0.36,1.84,Horsegram
98,14.08,77.69,Anantapur,Penukonda,Settipalli,Redsoil,8.77,0.24,0.18,3.48,80.0,2964.0,157.0,5.72,0.23,0.52,2.89,0.61,4.28,G.Nut
99,14.08,77.69,Anantapur,Penukonda,Settipalli,Redsoil,8.48,0.18,0.33,1.66,29.0,3458.0,123.0,1.89,0.13,0.52,0.85,1.1,3.22,G.Nut
100,14.08,77.69,Anantapur,Penukonda,Settipalli,Redsoil,8.44,0.22,0.19,10.47,84.0,3151.0,167.0,12.71,0.21,0.38,2.21,0.78,8.64,Horsegram
101,14.09,77.7,Anantapur,Penukonda,Settipalli,Redsoil,6.55,0.11,0.23,1.42,62.0,766.0,290.0,3.22,0.4,0.27,4.82,0.76,10.21,Horsegram
102,14.08,77.69,Anantapur,Penukonda,Settipalli,Redsoil,5.35,0.1,0.26,7.03,41.0,676.0,88.0,12.81,0.3,0.26,15.81,0.65,16.98,Horsegram
103,14.08,77.69,Anantapur,Penukonda,Settipalli,Redsoil,8.42,0.16,0.08,1.56,87.0,2785.0,136.0,2.01,0.17,0.31,2.52,0.57,3.77,G.Nut
104,14.08,77.69,Anantapur,Penukonda,Settipalli,Redsoil,8.75,0.17,0.19,6.0,70.0,1145.0,154.0,4.25,0.34,0.4,8.94,0.56,3.19,G.Nut
105,14.09,77.69,Anantapur,Penukonda,Settipalli,Redsoil,8.8,0.24,0.2,3.84,61.0,2933.0,165.0,2.61,0.5,0.34,2.0,0.65,3.54,G.Nut
106,14.09,77.69,Anantapur,Penukonda,Settipalli,Redsoil,8.08,0.14,0.11,2.14,52.0,1069.0,70.0,1.73,0.13,0.21,1.68,0.45,8.18,G.Nut
107,14.09,77.69,Anantapur,Penukonda,Settipalli,Redsoil,7.91,0.12,0.18,2.49,26.0,1184.0,94.0,1.73,0.13,0.15,2.46,0.32,5.0,G.Nut
108,14.09,77.69,Anantapur,Penukonda,Settipalli,Redsoil,6.07,0.05,0.34,1.58,43.0,799.0,189.0,2.32,0.15,0.24,1.51,0.88,4.35,G.Nut
109,14.08,77.69,Anantapur,Penukonda,Settipalli,Redsoil,8.38,0.18,0.25,1.87,95.0,3371.0,194.0,3.01,0.24,0.34,7.87,0.47,18.04,G.Nut
110,14.09,77.69,Anantapur,Penukonda,Settipalli,Redsoil,8.0,0.2,0.19,5.33,68.0,1432.0,67.0,3.04,0.26,0.19,2.54,0.46,4.56,G.Nut
111,14.08,77.6,Anantapur,Penukonda,Settipalli,Redsoil,8.43,0.19,0.36,2.04,37.0,2630.0,86.0,2.12,0.16,0.39,1.16,1.15,3.65,G.Nut
112,14.08,77.69,Anantapur,Penukonda,Settipalli,Redsoil,8.3,0.16,0.2,1.27,55.0,2776.0,158.0,2.72,0.16,0.3,1.67,0.94,4.11,G.Nut
113,14.08,77.69,Anantapur,Penukonda,Settipalli,Redsoil,8.5,0.2,0.08,1.58,56.0,2548.0,150.0,3.81,0.15,0.28,1.38,0.47,8.08,G.Nut
114,14.1,77.7,Anantapur,Penukonda,Settipalli,Redsoil,6.55,0.09,0.27,2.46,35.0,865.0,86.0,3.11,0.36,0.24,9.21,0.69,17.83,G.Nut
115,14.06,77.55,Anantapur,Raptadu,G.Koythapally,RED,8.65,0.16,0.29,6.62,94.0,2298.0,373.0,6.34,0.18,0.77,7.82,0.5,3.48,jowar
116,14.06,77.55,Anantapur,Raptadu,G.Koythapally,RED,8.7,0.24,0.21,17.71,188.0,1057.0,283.0,24.67,0.16,0.95,2.86,0.52,7.98,cotton
117,14.06,77.54,Anantapur,Raptadu,G.Koythapally,RED,6.52,0.06,0.22,8.95,102.0,371.0,71.0,3.21,0.42,0.3,5.92,0.5,9.54,G.Nut
119,14.06,77.55,Anantapur,Raptadu,G.Koythapally,RED,8.37,0.16,0.42,15.45,178.0,1586.0,460.0,5.37,0.56,0.8,4.56,0.92,9.3,G.Nut
122,14.55,77.55,Anantapur,Raptadu,G.Koythapally,RED,8.73,0.36,0.75,25.12,207.0,2695.0,503.0,15.07,0.54,1.68,10.31,1.92,4.59,G.Nut
123,14.53,77.54,Anantapur,Raptadu,Gandlaparthi,RED,8.61,0.2,0.52,3.47,125.0,2057.0,256.0,6.12,0.55,0.85,5.29,0.67,10.45,GROUND NUT
124,14.54,77.55,Anantapur,Raptadu,Gandlaparthi,BLACK,8.32,0.14,0.14,2.34,116.0,939.0,165.0,4.48,0.19,0.32,8.02,1.05,12.62,SUNFLOWER
125,14.53,77.54,Anantapur,Raptadu,Gandlaparthi,RED,5.95,0.05,0.17,11.11,63.0,268.0,19.0,2.8,0.39,0.28,14.84,0.35,9.98,GROUND NUT
126,14.54,77.54,Anantapur,Raptadu,Gandlaparthi,BLACK,8.15,0.11,0.46,4.27,140.0,2469.0,254.0,4.65,0.37,1.06,4.17,0.66,6.5,PADDY
127,14.54,77.53,Anantapur,Raptadu,Gandlaparthi,BLACK,7.0,0.04,0.19,1.31,90.0,1404.0,140.0,2.71,0.27,0.39,11.95,1.53,21.7,TAMATO
129,14.53,77.54,Anantapur,Raptadu,Gandlaparthi,RED,7.43,0.1,0.1,2.59,85.0,1328.0,144.0,4.39,0.26,0.17,5.9,0.62,7.64,GROUND NUT
130,14.53,77.53,Anantapur,Raptadu,Gandlaparthi,RED,8.68,0.62,0.32,10.64,29.0,2709.0,327.0,23.5,3.39,0.72,3.18,0.57,7.49,GROUND NUT
131,14.54,77.53,Anantapur,Raptadu,Gandlaparthi,BLACK,6.65,0.06,0.44,1.38,140.0,962.0,204.0,3.11,0.21,0.48,8.1,0.24,17.1,PADDY
132,14.54,77.54,Anantapur,Raptadu,Gandlaparthi,BLACK,8.21,0.08,0.21,6.15,28.0,1624.0,60.0,2.28,0.42,0.41,3.24,0.74,10.27,GROUND NUT
133,14.53,77.53,Anantapur,Raptadu,Gandlaparthi,RED,7.0,0.13,0.57,1.71,131.0,709.0,130.0,6.88,0.61,0.4,7.93,0.25,16.82,GROUND NUT
134,14.53,77.54,Anantapur,Raptadu,Gandlaparthi,RED,6.27,0.09,0.31,21.06,126.0,1046.0,157.0,2.84,0.59,0.33,22.67,1.74,22.35,GROUND NUT
135,14.54,77.54,Anantapur,Raptadu,Gandlaparthi,BLACK,8.05,0.13,0.33,3.08,130.0,2723.0,322.0,3.33,0.32,0.62,6.56,0.91,8.96,TAMATO
136,14.53,77.54,Anantapur,Raptadu,Gandlaparthi,RED,7.43,0.11,0.21,1.95,66.0,1057.0,103.0,8.03,0.32,0.47,3.71,0.45,12.29,GROUND NUT
137,14.54,77.54,Anantapur,Raptadu,Gandlaparthi,RED,7.72,0.07,0.36,12.31,96.0,652.0,39.0,4.1,1.03,0.61,3.08,0.4,4.11,GROUND NUT
138,14.53,77.54,Anantapur,Raptadu,Gandlaparthi,RED,8.25,0.08,0.38,6.87,129.0,2928.0,185.0,3.34,0.39,0.83,2.54,0.65,4.48,GROUND NUT
139,14.54,77.53,Anantapur,Raptadu,Gandlaparthi,RED,6.85,0.07,0.15,2.25,85.0,726.0,92.0,3.64,0.31,0.31,8.11,0.71,16.43,GROUND NUT
140,14.53,77.54,Anantapur,Raptadu,Gandlaparthi,RED,8.75,0.16,0.32,5.47,95.0,2308.0,156.0,3.09,0.6,0.61,11.08,0.6,10.71,GROUND NUT
141,14.53,77.54,Anantapur,Raptadu,Gandlaparthi,RED,8.8,0.24,0.28,7.05,107.0,1443.0,294.0,10.11,1.63,0.85,4.83,0.66,11.55,GROUND NUT
142,14.53,77.53,Anantapur,Raptadu,Gandlaparthi,BLACK,8.35,0.07,0.19,2.49,76.0,2449.0,37.0,1.42,0.17,0.48,2.01,0.52,2.95,TAMATO
143,14.53,77.53,Anantapur,Raptadu,Gandlaparthi,RED,8.28,0.07,0.14,1.66,69.0,1977.0,83.0,1.47,0.19,0.5,1.61,0.55,2.95,GROUND NUT
236,12.91,78.35,Chittoor,Santipuram,121.Pedduru,Red,7.25,0.23,0.27,47.2,123.0,718.0,222.0,15.08,1.94,0.53,6.61,0.69,19.54,Tomato
237,12.9,78.35,Chittoor,Santipuram,121.Pedduru,Black,7.46,1.99,0.56,53.6,134.0,1673.0,410.0,233.99,1.09,0.79,40.66,1.95,6.06,Tomato
238,12.9,78.35,Chittoor,Santipuram,121.Pedduru,Red,7.2,0.69,0.76,49.6,244.0,1303.0,167.0,32.83,0.05,0.86,0.08,0.1,0.05,Sweetcorn
239,12.9,78.35,Chittoor,Santipuram,121.Pedduru,Black,7.88,0.8,0.62,9.8,197.0,1160.0,300.0,59.88,4.64,0.67,9.39,1.7,22.5,Tomato
240,12.91,78.36,Chittoor,Santipuram,121.Pedduru,Black,7.26,0.18,0.48,4.0,45.0,746.0,185.0,7.36,1.73,0.54,7.61,0.69,19.59,Mulberry
241,12.9,78.35,Chittoor,Santipuram,121.Pedduru,Black,7.43,1.46,0.57,39.6,149.0,1572.0,478.0,172.17,1.55,0.75,2.3,0.71,5.36,Potatao
242,12.9,78.34,Chittoor,Santipuram,121.Pedduru,Black,7.83,0.39,0.22,11.2,68.0,2513.0,409.0,84.12,0.51,0.41,11.02,1.15,13.57,Tomato
